,session,method,gender,emotion,n_annotators,agreement,path,transcript,duration
0,1,script,F,neu,3,3,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F000.wav," Fine.
",2.07
1,1,script,F,fru,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F001.wav," [BREATHING]
",1.5024375
2,1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F004.wav," That's not your flashlight.
",2.18
3,1,script,F,ang,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F006.wav," You keep saying my flashlight like it's just yours.
",2.97
4,1,script,F,ang,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F007.wav," How's that supposed to make me feel?
",1.8199375
5,1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F008.wav," Yeah.
",1.37
6,1,script,F,sad,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F010.wav," I'm cold.
",1.92
7,1,script,F,fru,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F014.wav," Well, then let's go.
",1.9499375
8,1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F015.wav," Not particularly.
",2.3245
9,1,script,F,fru,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F017.wav," Pass what up?  I mean these fish swim out of the ocean, they flop around on the beach, they swim away and then they die.
",9.09
10,1,script,F,fru,3,3,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F019.wav," Oh Augie
",1.66
11,1,script,F,fru,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F021.wav," Yeah.
",1.28
12,1,script,F,fru,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F023.wav," Hmm.  We didn't see them the year before either.
",2.5899375
13,1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F024.wav," That's the wind.
",2.61
14,1,script,F,neu,3,3,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F025.wav," About what?
",2.4699375
15,1,script,F,exc,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M002.wav," Okay.  Is that, is that--
",3.0399375
16,1,script,F,neu,3,3,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M007.wav," The flashlight, the silver one.  There's only one, isn't there?
",3.5299375
17,1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M008.wav," Whose is it?
",1.55
18,1,script,F,neu,3,3,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M009.wav," Oh...well. Yeah, of course.
",1.72
19,1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M010.wav," No.
",1.1299375
20,1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M011.wav," Of course, our flashlight.  What's yours is mine.  Me flashlight es su flashlight.
",6.7215625
21,1,script,F,fru,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M012.wav," Naturally.  God, how could we not think to bring it?  I hope the moon stays out, though.
",7.2829375
22,1,script,F,neu,3,3,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M013.wav," Do they always run during a full moon?  I don't remember.  Was it full last year?
",3.98725
23,1,script,F,neu,3,3,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M014.wav," Huh.  Are you cold?  Do you want my jacket?  No?  you know, we should have brought the blanket?  Our blanket.
",10.4878125
24,1,script,F,neu,3,3,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M015.wav," Aw.  Do you know, I should have brought a six pack, too.  A six pack, that would be just the ticket right about now.  Huh?
",6.7015
25,1,script,F,exc,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M016.wav," God, I'm so excited, I'm like a kid.  I can't believe I got out of the house with my fly zipped up.
",5.7599375
26,1,script,F,fru,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M018.wav," Do you want my jacket?
",2.1599375
27,1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M020.wav," Right.
",1.8899375
28,1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M021.wav," Wait, that's my point, too.
",2.2099375
29,1,script,F,fru,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M022.wav," No, no.  Okay.  That's not my point.  My point is there is no point in coming down here if we just turn around and go home.  Don't you want to see it?
",8.9399375
30,1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M023.wav," Why not?
",1.93
31,1,script,F,neu,3,3,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M024.wav," Honey, this is like a natural phenomenon. I mean... People in Kansas would have to get plane reservations and get hotel rooms to see this.  It's just forty minutes away for us; it's too good to pass up.
",12.86
32,1,script,F,neu,3,3,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M025.wav," Yeah.  But this..this moment on the beach is like the highlight of their little lives.  All that flopping around is laying eggs or what to do - spawning or mating or whatever.
",13.09225
33,1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M026.wav," This is a big night for these little guys.  It's like life's last orgy.
",5.1524375
34,1,script,F,fru,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M027.wav," Yeah they do.
",1.5899375
35,1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M029.wav," There's like mystery here, there's magic.  It's like a little bit of the unexplainable.  I just can't see how you're not interested.
",7.3775
36,1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M031.wav," God, I don't get it.  you know the first time we came here, you said it was the best night of your life?
",7.0099375
